cbsa1_name,cbsa2_name,cbsa1,cbsa2,raceDistance,incomeDistance,geographicDistance,scenesDistance,populationDistance,employmentDistance,bachelorDistance,frequencyDistance,frequencyCosine,categoriesJaccard,votingDistance
Miami,Riverside,33100,40140,0.011788515018215706,11956.0,3547044.8621266447,0.08677246663702737,1538494.0,0.021039780025344568,19.302085408779973,6876.850151050261,0.9377339588003243,0.7712915961646926,0.04764948162935312
Denver,Washington,19740,47900,0.040830875139939674,22883.0,2348748.020517275,0.05865228728294596,3421341.0,0.005287648405677303,0.3147113594040931,5117.0994713802465,0.9705672093720327,0.7764156450671337,0.18195508424296503
Atlanta,Boston,12060,14460,0.06207493421242038,24492.0,1517670.049042186,0.08222270514924317,1148183.0,0.016488277863585865,33.38737452559146,5904.60557531153,0.923405559518784,0.7767017943605811,0.10402794900591439
Phoenix,Washington,38060,47900,0.03716144527170163,39868.0,3146523.156845789,0.07577187642512419,1539330.0,0.073156412705076,58.52793834296724,3381.083997773495,0.9640400292607773,0.7897303499713139,0.29405417499398845
Atlanta,Detroit,12060,19820,0.029585060952872146,10169.0,1003204.834045935,0.029736898884093695,1697774.0,0.046850410431816814,40.05448053870061,5163.140904527011,0.9769534245102929,0.80034924330617,0.023401695178997595
Austin,Chicago,12420,16980,0.00889389060217959,7852.0,1549529.9051183977,0.052443843566754196,7335131.0,0.04355566971546787,18.031349714448304,14907.037398490687,0.9608998854468705,0.7657992565055762,0.04289850938614648
Dallas,Detroit,19100,19820,0.054322714319229914,10942.0,1626998.6676676786,0.061163712316402774,3245346.0,0.06521714919184707,8.977470671880553,8326.38781225088,0.9673894182785849,0.7931428571428571,0.036226478344983604
Denver,Orlando,19740,36740,0.025606837662175988,25369.0,2482385.9439198114,0.05137315314885068,290445.0,0.06862829155127159,19.36613970442569,1807.2622941897505,0.967829268881541,0.7783474065138721,0.07219679175057425
Orlando,Phoenix,36740,38060,0.009296823431731455,8384.0,2983486.635998081,0.03444475737854855,2172456.0,0.009815769559481713,38.847087279137455,3869.0522095210863,0.9761321687392033,0.7894114167406093,0.03990229900044917
Philadelphia,Tampa,37980,45300,0.009633691626947695,18358.0,1464733.768309776,0.08299005928240184,3069776.0,0.05150595617719278,25.2326284324879,5254.630434198013,0.9598991939387396,0.7953623188405797,0.152735308068149
Charlotte,Orlando,16740,36740,0.03717152080288919,4626.0,748342.6019163232,0.063561229019277,13047.0,0.0246616874121397,30.25979843225084,1435.5061825014895,0.9781872431068463,0.7719573400250941,0.05807162827601653
San Diego,Washington,41740,47900,0.03630314893126202,22829.0,3559874.7329304144,0.0501076184368506,3086528.0,0.04947434693761854,,5366.4989518307,0.9743429114529806,0.7824949113114278,0.18798230785381875
Denver,San Francisco,19740,41860,0.05827300957299805,32395.0,1514041.1129545837,0.14385668504133375,1785187.0,0.04573640497621945,30.975032230339494,3608.344495748708,0.9435901075707666,0.769431554524362,0.18024704615044007
Seattle,Washington,42660,47900,0.033554161895435294,12597.0,3680386.7164217154,0.04134684670638381,2366400.0,0.025372178656353883,82.25952380952381,4258.8312950855425,0.9668656593760754,0.7895492391616422,0.12194571594641146
Charlotte,Los Angeles,16740,31080,0.12590111723062775,12928.0,3397394.679014975,0.12290758378356874,10540669.0,0.023008371794233762,,19477.919960817173,0.9362300378268311,0.7221465540724599,0.18679772445221776
Austin,Miami,12420,33100,0.04017472319878401,23854.0,1763283.099928548,0.06988794741718997,3854962.0,0.07738257194580667,60.99228688559232,8689.393131859095,0.9541062186668262,0.7511415525114156,0.03188409024590211
Chicago,San Antonio,16980,41700,0.0786056851670289,14177.0,1675543.7759005302,0.06743295601962425,7060359.0,0.017762332976848483,31.96883683050685,14771.399561314425,0.9516371588547703,0.7528538812785388,0.14833295041083805
Portland,San Francisco,38900,41860,0.08183587610332868,38864.0,869488.2585352605,0.08159343048047711,2236149.0,0.004207423441253355,30.587678692988426,4103.936890352969,0.9622792057722639,0.7733217088055798,0.156730107175155
Atlanta,Seattle,12060,42660,0.053985418372700975,24581.0,3468998.3549535577,0.09225443725589992,2071053.0,0.013081168362425677,94.20337216431636,6579.212262877677,0.9369123761570318,0.7896522476675149,0.11522644329769138
San Diego,Seattle,41740,42660,0.04170387337621789,10232.0,1661842.7905114307,0.03651393612194362,720128.0,0.024102168281264658,,2410.224263424464,0.9685738647815499,0.7898255813953489,0.0660365919074073
